Numéro,Nom,Types,URL,Taille (m),Poids (kg)
0069,Bellsprout,,https://pokemondb.net/pokedex/bellsprout,0.7,4.0
0070,Weepinbell,,https://pokemondb.net/pokedex/weepinbell,1.0,6.4
0071,Victreebel,,https://pokemondb.net/pokedex/victreebel,1.7,15.5
0072,Tentacool,,https://pokemondb.net/pokedex/tentacool,0.9,45.5
0073,Tentacruel,,https://pokemondb.net/pokedex/tentacruel,1.6,55.0
0074,Geodude,,https://pokemondb.net/pokedex/geodude,0.4,20.0
0075,Graveler,,https://pokemondb.net/pokedex/graveler,1.0,105.0
0076,Golem,,https://pokemondb.net/pokedex/golem,1.4,300.0
0077,Ponyta,,https://pokemondb.net/pokedex/ponyta,1.0,30.0
0078,Rapidash,,https://pokemondb.net/pokedex/rapidash,1.7,95.0
0079,Slowpoke,,https://pokemondb.net/pokedex/slowpoke,1.2,36.0
0080,Slowbro,,https://pokemondb.net/pokedex/slowbro,1.6,78.5
0081,Magnemite,,https://pokemondb.net/pokedex/magnemite,0.3,6.0
0082,Magneton,,https://pokemondb.net/pokedex/magneton,1.0,60.0
0083,Farfetch'd,,https://pokemondb.net/pokedex/farfetchd,0.8,15.0
0084,Doduo,,https://pokemondb.net/pokedex/doduo,1.4,39.2
0085,Dodrio,,https://pokemondb.net/pokedex/dodrio,1.8,85.2
0086,Seel,,https://pokemondb.net/pokedex/seel,1.1,90.0
0087,Dewgong,,https://pokemondb.net/pokedex/dewgong,1.7,120.0
0088,Grimer,,https://pokemondb.net/pokedex/grimer,0.9,30.0
0089,Muk,,https://pokemondb.net/pokedex/muk,1.2,30.0
0090,Shellder,,https://pokemondb.net/pokedex/shellder,0.3,4.0
0091,Cloyster,,https://pokemondb.net/pokedex/cloyster,1.5,132.5
0092,Gastly,,https://pokemondb.net/pokedex/gastly,1.3,0.1
0093,Haunter,,https://pokemondb.net/pokedex/haunter,1.6,0.1
0094,Gengar,,https://pokemondb.net/pokedex/gengar,1.5,40.5
0095,Onix,,https://pokemondb.net/pokedex/onix,8.8,210.0
0096,Drowzee,,https://pokemondb.net/pokedex/drowzee,1.0,32.4
0097,Hypno,,https://pokemondb.net/pokedex/hypno,1.6,75.6
0098,Krabby,,https://pokemondb.net/pokedex/krabby,0.4,6.5
0099,Kingler,,https://pokemondb.net/pokedex/kingler,1.3,60.0
0100,Voltorb,,https://pokemondb.net/pokedex/voltorb,0.5,10.4
0101,Electrode,,https://pokemondb.net/pokedex/electrode,1.2,66.6
0102,Exeggcute,,https://pokemondb.net/pokedex/exeggcute,0.4,2.5
0103,Exeggutor,,https://pokemondb.net/pokedex/exeggutor,2.0,120.0
0104,Cubone,,https://pokemondb.net/pokedex/cubone,0.4,6.5
0105,Marowak,,https://pokemondb.net/pokedex/marowak,1.0,45.0
0106,Hitmonlee,,https://pokemondb.net/pokedex/hitmonlee,1.5,49.8
0107,Hitmonchan,,https://pokemondb.net/pokedex/hitmonchan,1.4,50.2
0108,Lickitung,,https://pokemondb.net/pokedex/lickitung,1.2,65.5
0109,Koffing,,https://pokemondb.net/pokedex/koffing,0.6,1.0
0110,Weezing,,https://pokemondb.net/pokedex/weezing,1.2,9.5
0111,Rhyhorn,,https://pokemondb.net/pokedex/rhyhorn,1.0,115.0
0112,Rhydon,,https://pokemondb.net/pokedex/rhydon,1.9,120.0
0113,Chansey,,https://pokemondb.net/pokedex/chansey,1.1,34.6
0114,Tangela,,https://pokemondb.net/pokedex/tangela,1.0,35.0
0115,Kangaskhan,,https://pokemondb.net/pokedex/kangaskhan,2.2,80.0
0116,Horsea,,https://pokemondb.net/pokedex/horsea,0.4,8.0
0117,Seadra,,https://pokemondb.net/pokedex/seadra,1.2,25.0
0118,Goldeen,,https://pokemondb.net/pokedex/goldeen,0.6,15.0
0119,Seaking,,https://pokemondb.net/pokedex/seaking,1.3,39.0
0120,Staryu,,https://pokemondb.net/pokedex/staryu,0.8,34.5
0121,Starmie,,https://pokemondb.net/pokedex/starmie,1.1,80.0
0122,Mr. Mime,,https://pokemondb.net/pokedex/mr-mime,1.3,54.5
0123,Scyther,,https://pokemondb.net/pokedex/scyther,1.5,56.0
0124,Jynx,,https://pokemondb.net/pokedex/jynx,1.4,40.6
0125,Electabuzz,,https://pokemondb.net/pokedex/electabuzz,1.1,30.0
0126,Magmar,,https://pokemondb.net/pokedex/magmar,1.3,44.5
0127,Pinsir,,https://pokemondb.net/pokedex/pinsir,1.5,55.0
0128,Tauros,,https://pokemondb.net/pokedex/tauros,1.4,88.4
0129,Magikarp,,https://pokemondb.net/pokedex/magikarp,0.9,10.0
0130,Gyarados,,https://pokemondb.net/pokedex/gyarados,6.5,235.0
0131,Lapras,,https://pokemondb.net/pokedex/lapras,2.5,220.0
0132,Ditto,,https://pokemondb.net/pokedex/ditto,0.3,4.0
0133,Eevee,,https://pokemondb.net/pokedex/eevee,0.3,6.5
0134,Vaporeon,,https://pokemondb.net/pokedex/vaporeon,1.0,29.0
0135,Jolteon,,https://pokemondb.net/pokedex/jolteon,0.8,24.5
0136,Flareon,,https://pokemondb.net/pokedex/flareon,0.9,25.0
0137,Porygon,,https://pokemondb.net/pokedex/porygon,0.8,36.5
0138,Omanyte,,https://pokemondb.net/pokedex/omanyte,0.4,7.5
0139,Omastar,,https://pokemondb.net/pokedex/omastar,1.0,35.0
0140,Kabuto,,https://pokemondb.net/pokedex/kabuto,0.5,11.5
0141,Kabutops,,https://pokemondb.net/pokedex/kabutops,1.3,40.5
0142,Aerodactyl,,https://pokemondb.net/pokedex/aerodactyl,1.8,59.0
0143,Snorlax,,https://pokemondb.net/pokedex/snorlax,2.1,460.0
0144,Articuno,,https://pokemondb.net/pokedex/articuno,1.7,55.4
0145,Zapdos,,https://pokemondb.net/pokedex/zapdos,1.6,52.6
0146,Moltres,,https://pokemondb.net/pokedex/moltres,2.0,60.0
0147,Dratini,,https://pokemondb.net/pokedex/dratini,1.8,3.3
0148,Dragonair,,https://pokemondb.net/pokedex/dragonair,4.0,16.5
0149,Dragonite,,https://pokemondb.net/pokedex/dragonite,2.2,210.0
0150,Mewtwo,,https://pokemondb.net/pokedex/mewtwo,2.0,122.0
0151,Mew,,https://pokemondb.net/pokedex/mew,0.4,4.0
0152,Chikorita,,https://pokemondb.net/pokedex/chikorita,0.9,6.4
0153,Bayleef,,https://pokemondb.net/pokedex/bayleef,1.2,15.8
0154,Meganium,,https://pokemondb.net/pokedex/meganium,1.8,100.5
0155,Cyndaquil,,https://pokemondb.net/pokedex/cyndaquil,0.5,7.9
0156,Quilava,,https://pokemondb.net/pokedex/quilava,0.9,19.0
0157,Typhlosion,,https://pokemondb.net/pokedex/typhlosion,1.7,79.5
0158,Totodile,,https://pokemondb.net/pokedex/totodile,0.6,9.5
0159,Croconaw,,https://pokemondb.net/pokedex/croconaw,1.1,25.0
0160,Feraligatr,,https://pokemondb.net/pokedex/feraligatr,2.3,88.8
0161,Sentret,,https://pokemondb.net/pokedex/sentret,0.8,6.0
0162,Furret,,https://pokemondb.net/pokedex/furret,1.8,32.5
0163,Hoothoot,,https://pokemondb.net/pokedex/hoothoot,0.7,21.2
0164,Noctowl,,https://pokemondb.net/pokedex/noctowl,1.6,40.8
0165,Ledyba,,https://pokemondb.net/pokedex/ledyba,1.0,10.8
0166,Ledian,,https://pokemondb.net/pokedex/ledian,1.4,35.6
0167,Spinarak,,https://pokemondb.net/pokedex/spinarak,0.5,8.5
0168,Ariados,,https://pokemondb.net/pokedex/ariados,1.1,33.5
0169,Crobat,,https://pokemondb.net/pokedex/crobat,1.8,75.0
0170,Chinchou,,https://pokemondb.net/pokedex/chinchou,0.5,12.0
0171,Lanturn,,https://pokemondb.net/pokedex/lanturn,1.2,22.5
0172,Pichu,,https://pokemondb.net/pokedex/pichu,0.3,2.0
0173,Cleffa,,https://pokemondb.net/pokedex/cleffa,0.3,3.0
0174,Igglybuff,,https://pokemondb.net/pokedex/igglybuff,0.3,1.0
0175,Togepi,,https://pokemondb.net/pokedex/togepi,0.3,1.5
0176,Togetic,,https://pokemondb.net/pokedex/togetic,0.6,3.2
0177,Natu,,https://pokemondb.net/pokedex/natu,0.2,2.0
0178,Xatu,,https://pokemondb.net/pokedex/xatu,1.5,15.0
0179,Mareep,,https://pokemondb.net/pokedex/mareep,0.6,7.8
0180,Flaaffy,,https://pokemondb.net/pokedex/flaaffy,0.8,13.3
0181,Ampharos,,https://pokemondb.net/pokedex/ampharos,1.4,61.5
0182,Bellossom,,https://pokemondb.net/pokedex/bellossom,0.4,5.8
0183,Marill,,https://pokemondb.net/pokedex/marill,0.4,8.5
0184,Azumarill,,https://pokemondb.net/pokedex/azumarill,0.8,28.5
0185,Sudowoodo,,https://pokemondb.net/pokedex/sudowoodo,1.2,38.0
0186,Politoed,,https://pokemondb.net/pokedex/politoed,1.1,33.9
0187,Hoppip,,https://pokemondb.net/pokedex/hoppip,0.4,0.5
0188,Skiploom,,https://pokemondb.net/pokedex/skiploom,0.6,1.0
0189,Jumpluff,,https://pokemondb.net/pokedex/jumpluff,0.8,3.0
0190,Aipom,,https://pokemondb.net/pokedex/aipom,0.8,11.5
0191,Sunkern,,https://pokemondb.net/pokedex/sunkern,0.3,1.8
0192,Sunflora,,https://pokemondb.net/pokedex/sunflora,0.8,8.5
0193,Yanma,,https://pokemondb.net/pokedex/yanma,1.2,38.0
0194,Wooper,,https://pokemondb.net/pokedex/wooper,0.4,8.5
0195,Quagsire,,https://pokemondb.net/pokedex/quagsire,1.4,75.0
0196,Espeon,,https://pokemondb.net/pokedex/espeon,0.9,26.5
0197,Umbreon,,https://pokemondb.net/pokedex/umbreon,1.0,27.0
0198,Murkrow,,https://pokemondb.net/pokedex/murkrow,0.5,2.1
0199,Slowking,,https://pokemondb.net/pokedex/slowking,2.0,79.5
0200,Misdreavus,,https://pokemondb.net/pokedex/misdreavus,0.7,1.0
0201,Unown,,https://pokemondb.net/pokedex/unown,0.5,5.0
0202,Wobbuffet,,https://pokemondb.net/pokedex/wobbuffet,1.3,28.5
0203,Girafarig,,https://pokemondb.net/pokedex/girafarig,1.5,41.5
0204,Pineco,,https://pokemondb.net/pokedex/pineco,0.6,7.2
0205,Forretress,,https://pokemondb.net/pokedex/forretress,1.2,125.8
0206,Dunsparce,,https://pokemondb.net/pokedex/dunsparce,1.5,14.0
0207,Gligar,,https://pokemondb.net/pokedex/gligar,1.1,64.8
0208,Steelix,,https://pokemondb.net/pokedex/steelix,9.2,400.0
0209,Snubbull,,https://pokemondb.net/pokedex/snubbull,0.6,7.8
0210,Granbull,,https://pokemondb.net/pokedex/granbull,1.4,48.7
0211,Qwilfish,,https://pokemondb.net/pokedex/qwilfish,0.5,3.9
0212,Scizor,,https://pokemondb.net/pokedex/scizor,1.8,118.0
0213,Shuckle,,https://pokemondb.net/pokedex/shuckle,0.6,20.5
0214,Heracross,,https://pokemondb.net/pokedex/heracross,1.5,54.0
0215,Sneasel,,https://pokemondb.net/pokedex/sneasel,0.9,28.0
0216,Teddiursa,,https://pokemondb.net/pokedex/teddiursa,0.6,8.8
0217,Ursaring,,https://pokemondb.net/pokedex/ursaring,1.8,125.8
0218,Slugma,,https://pokemondb.net/pokedex/slugma,0.7,35.0
0219,Magcargo,,https://pokemondb.net/pokedex/magcargo,0.8,55.0
0220,Swinub,,https://pokemondb.net/pokedex/swinub,0.4,6.5
0221,Piloswine,,https://pokemondb.net/pokedex/piloswine,1.1,55.8
0222,Corsola,,https://pokemondb.net/pokedex/corsola,0.6,5.0
0223,Remoraid,,https://pokemondb.net/pokedex/remoraid,0.6,12.0
0224,Octillery,,https://pokemondb.net/pokedex/octillery,0.9,28.5
0225,Delibird,,https://pokemondb.net/pokedex/delibird,0.9,16.0
0226,Mantine,,https://pokemondb.net/pokedex/mantine,2.1,220.0
0227,Skarmory,,https://pokemondb.net/pokedex/skarmory,1.7,50.5
0228,Houndour,,https://pokemondb.net/pokedex/houndour,0.6,10.8
0229,Houndoom,,https://pokemondb.net/pokedex/houndoom,1.4,35.0
0230,Kingdra,,https://pokemondb.net/pokedex/kingdra,1.8,152.0
0231,Phanpy,,https://pokemondb.net/pokedex/phanpy,0.5,33.5
0232,Donphan,,https://pokemondb.net/pokedex/donphan,1.1,120.0
0233,Porygon2,,https://pokemondb.net/pokedex/porygon2,0.6,32.5
0234,Stantler,,https://pokemondb.net/pokedex/stantler,1.4,71.2
0235,Smeargle,,https://pokemondb.net/pokedex/smeargle,1.2,58.0
0236,Tyrogue,,https://pokemondb.net/pokedex/tyrogue,0.7,21.0
0237,Hitmontop,,https://pokemondb.net/pokedex/hitmontop,1.4,48.0
0238,Smoochum,,https://pokemondb.net/pokedex/smoochum,0.4,6.0
0239,Elekid,,https://pokemondb.net/pokedex/elekid,0.6,23.5
0240,Magby,,https://pokemondb.net/pokedex/magby,0.7,21.4
0241,Miltank,,https://pokemondb.net/pokedex/miltank,1.2,75.5
0242,Blissey,,https://pokemondb.net/pokedex/blissey,1.5,46.8
0243,Raikou,,https://pokemondb.net/pokedex/raikou,1.9,178.0
0244,Entei,,https://pokemondb.net/pokedex/entei,2.1,198.0
0245,Suicune,,https://pokemondb.net/pokedex/suicune,2.0,187.0
0246,Larvitar,,https://pokemondb.net/pokedex/larvitar,0.6,72.0
0247,Pupitar,,https://pokemondb.net/pokedex/pupitar,1.2,152.0
0248,Tyranitar,,https://pokemondb.net/pokedex/tyranitar,2.0,202.0
0249,Lugia,,https://pokemondb.net/pokedex/lugia,5.2,216.0
0250,Ho-oh,,https://pokemondb.net/pokedex/ho-oh,3.8,199.0
0251,Celebi,,https://pokemondb.net/pokedex/celebi,0.6,5.0
0252,Treecko,,https://pokemondb.net/pokedex/treecko,0.5,5.0
0253,Grovyle,,https://pokemondb.net/pokedex/grovyle,0.9,21.6
0254,Sceptile,,https://pokemondb.net/pokedex/sceptile,1.7,52.2
0255,Torchic,,https://pokemondb.net/pokedex/torchic,0.4,2.5
0256,Combusken,,https://pokemondb.net/pokedex/combusken,0.9,19.5
0257,Blaziken,,https://pokemondb.net/pokedex/blaziken,1.9,52.0
0258,Mudkip,,https://pokemondb.net/pokedex/mudkip,0.4,7.6
0259,Marshtomp,,https://pokemondb.net/pokedex/marshtomp,0.7,28.0
0260,Swampert,,https://pokemondb.net/pokedex/swampert,1.5,81.9
0261,Poochyena,,https://pokemondb.net/pokedex/poochyena,0.5,13.6
0262,Mightyena,,https://pokemondb.net/pokedex/mightyena,1.0,37.0
0263,Zigzagoon,,https://pokemondb.net/pokedex/zigzagoon,0.4,17.5
0264,Linoone,,https://pokemondb.net/pokedex/linoone,0.5,32.5
0265,Wurmple,,https://pokemondb.net/pokedex/wurmple,0.3,3.6
0266,Silcoon,,https://pokemondb.net/pokedex/silcoon,0.6,10.0
0267,Beautifly,,https://pokemondb.net/pokedex/beautifly,1.0,28.4
0268,Cascoon,,https://pokemondb.net/pokedex/cascoon,0.7,11.5
0269,Dustox,,https://pokemondb.net/pokedex/dustox,1.2,31.6
0270,Lotad,,https://pokemondb.net/pokedex/lotad,0.5,2.6
0271,Lombre,,https://pokemondb.net/pokedex/lombre,1.2,32.5
0272,Ludicolo,,https://pokemondb.net/pokedex/ludicolo,1.5,55.0
0273,Seedot,,https://pokemondb.net/pokedex/seedot,0.5,4.0
0274,Nuzleaf,,https://pokemondb.net/pokedex/nuzleaf,1.0,28.0
0275,Shiftry,,https://pokemondb.net/pokedex/shiftry,1.3,59.6
0276,Taillow,,https://pokemondb.net/pokedex/taillow,0.3,2.3
0277,Swellow,,https://pokemondb.net/pokedex/swellow,0.7,19.8
0278,Wingull,,https://pokemondb.net/pokedex/wingull,0.6,9.5
0279,Pelipper,,https://pokemondb.net/pokedex/pelipper,1.2,28.0
0280,Ralts,,https://pokemondb.net/pokedex/ralts,0.4,6.6
0281,Kirlia,,https://pokemondb.net/pokedex/kirlia,0.8,20.2
0282,Gardevoir,,https://pokemondb.net/pokedex/gardevoir,1.6,48.4
0283,Surskit,,https://pokemondb.net/pokedex/surskit,0.5,1.7
0284,Masquerain,,https://pokemondb.net/pokedex/masquerain,0.8,3.6
0285,Shroomish,,https://pokemondb.net/pokedex/shroomish,0.4,4.5
0286,Breloom,,https://pokemondb.net/pokedex/breloom,1.2,39.2
0287,Slakoth,,https://pokemondb.net/pokedex/slakoth,0.8,24.0
0288,Vigoroth,,https://pokemondb.net/pokedex/vigoroth,1.4,46.5
0289,Slaking,,https://pokemondb.net/pokedex/slaking,2.0,130.5
0290,Nincada,,https://pokemondb.net/pokedex/nincada,0.5,5.5
0291,Ninjask,,https://pokemondb.net/pokedex/ninjask,0.8,12.0
0292,Shedinja,,https://pokemondb.net/pokedex/shedinja,0.8,1.2
0293,Whismur,,https://pokemondb.net/pokedex/whismur,0.6,16.3
0294,Loudred,,https://pokemondb.net/pokedex/loudred,1.0,40.5
0295,Exploud,,https://pokemondb.net/pokedex/exploud,1.5,84.0
0296,Makuhita,,https://pokemondb.net/pokedex/makuhita,1.0,86.4
0297,Hariyama,,https://pokemondb.net/pokedex/hariyama,2.3,253.8
0298,Azurill,,https://pokemondb.net/pokedex/azurill,0.2,2.0
0299,Nosepass,,https://pokemondb.net/pokedex/nosepass,1.0,97.0
0300,Skitty,,https://pokemondb.net/pokedex/skitty,0.6,11.0
0301,Delcatty,,https://pokemondb.net/pokedex/delcatty,1.1,32.6
0302,Sableye,,https://pokemondb.net/pokedex/sableye,0.5,11.0
0303,Mawile,,https://pokemondb.net/pokedex/mawile,0.6,11.5
0304,Aron,,https://pokemondb.net/pokedex/aron,0.4,60.0
0305,Lairon,,https://pokemondb.net/pokedex/lairon,0.9,120.0
0306,Aggron,,https://pokemondb.net/pokedex/aggron,2.1,360.0
0307,Meditite,,https://pokemondb.net/pokedex/meditite,0.6,11.2
0308,Medicham,,https://pokemondb.net/pokedex/medicham,1.3,31.5
0309,Electrike,,https://pokemondb.net/pokedex/electrike,0.6,15.2
0310,Manectric,,https://pokemondb.net/pokedex/manectric,1.5,40.2
0311,Plusle,,https://pokemondb.net/pokedex/plusle,0.4,4.2
0312,Minun,,https://pokemondb.net/pokedex/minun,0.4,4.2
0313,Volbeat,,https://pokemondb.net/pokedex/volbeat,0.7,17.7
0314,Illumise,,https://pokemondb.net/pokedex/illumise,0.6,17.7
0315,Roselia,,https://pokemondb.net/pokedex/roselia,0.3,2.0
0316,Gulpin,,https://pokemondb.net/pokedex/gulpin,0.4,10.3
0317,Swalot,,https://pokemondb.net/pokedex/swalot,1.7,80.0
0318,Carvanha,,https://pokemondb.net/pokedex/carvanha,0.8,20.8
0319,Sharpedo,,https://pokemondb.net/pokedex/sharpedo,1.8,88.8
0320,Wailmer,,https://pokemondb.net/pokedex/wailmer,2.0,130.0
0321,Wailord,,https://pokemondb.net/pokedex/wailord,14.5,398.0
0322,Numel,,https://pokemondb.net/pokedex/numel,0.7,24.0
0323,Camerupt,,https://pokemondb.net/pokedex/camerupt,1.9,220.0
0324,Torkoal,,https://pokemondb.net/pokedex/torkoal,0.5,80.4
0325,Spoink,,https://pokemondb.net/pokedex/spoink,0.7,30.6
0326,Grumpig,,https://pokemondb.net/pokedex/grumpig,0.9,71.5
0327,Spinda,,https://pokemondb.net/pokedex/spinda,1.1,5.0
0328,Trapinch,,https://pokemondb.net/pokedex/trapinch,0.7,15.0
0329,Vibrava,,https://pokemondb.net/pokedex/vibrava,1.1,15.3
0330,Flygon,,https://pokemondb.net/pokedex/flygon,2.0,82.0
0331,Cacnea,,https://pokemondb.net/pokedex/cacnea,0.4,51.3
0332,Cacturne,,https://pokemondb.net/pokedex/cacturne,1.3,77.4
0333,Swablu,,https://pokemondb.net/pokedex/swablu,0.4,1.2
0334,Altaria,,https://pokemondb.net/pokedex/altaria,1.1,20.6
0335,Zangoose,,https://pokemondb.net/pokedex/zangoose,1.3,40.3
0336,Seviper,,https://pokemondb.net/pokedex/seviper,2.7,52.5
0337,Lunatone,,https://pokemondb.net/pokedex/lunatone,1.0,168.0
0338,Solrock,,https://pokemondb.net/pokedex/solrock,1.2,154.0
0339,Barboach,,https://pokemondb.net/pokedex/barboach,0.4,1.9
0340,Whiscash,,https://pokemondb.net/pokedex/whiscash,0.9,23.6
0341,Corphish,,https://pokemondb.net/pokedex/corphish,0.6,11.5
0342,Crawdaunt,,https://pokemondb.net/pokedex/crawdaunt,1.1,32.8
0343,Baltoy,,https://pokemondb.net/pokedex/baltoy,0.5,21.5
0344,Claydol,,https://pokemondb.net/pokedex/claydol,1.5,108.0
0345,Lileep,,https://pokemondb.net/pokedex/lileep,1.0,23.8
0346,Cradily,,https://pokemondb.net/pokedex/cradily,1.5,60.4
0347,Anorith,,https://pokemondb.net/pokedex/anorith,0.7,12.5
0348,Armaldo,,https://pokemondb.net/pokedex/armaldo,1.5,68.2
0349,Feebas,,https://pokemondb.net/pokedex/feebas,0.6,7.4
0350,Milotic,,https://pokemondb.net/pokedex/milotic,6.2,162.0
0351,Castform,,https://pokemondb.net/pokedex/castform,0.3,0.8
0352,Kecleon,,https://pokemondb.net/pokedex/kecleon,1.0,22.0
0353,Shuppet,,https://pokemondb.net/pokedex/shuppet,0.6,2.3
0354,Banette,,https://pokemondb.net/pokedex/banette,1.1,12.5
0355,Duskull,,https://pokemondb.net/pokedex/duskull,0.8,15.0
0356,Dusclops,,https://pokemondb.net/pokedex/dusclops,1.6,30.6
0357,Tropius,,https://pokemondb.net/pokedex/tropius,2.0,100.0
0358,Chimecho,,https://pokemondb.net/pokedex/chimecho,0.6,1.0
0359,Absol,,https://pokemondb.net/pokedex/absol,1.2,47.0
0360,Wynaut,,https://pokemondb.net/pokedex/wynaut,0.6,14.0
0361,Snorunt,,https://pokemondb.net/pokedex/snorunt,0.7,16.8
0362,Glalie,,https://pokemondb.net/pokedex/glalie,1.5,256.5
0363,Spheal,,https://pokemondb.net/pokedex/spheal,0.8,39.5
0364,Sealeo,,https://pokemondb.net/pokedex/sealeo,1.1,87.6
0365,Walrein,,https://pokemondb.net/pokedex/walrein,1.4,150.6
0366,Clamperl,,https://pokemondb.net/pokedex/clamperl,0.4,52.5
0367,Huntail,,https://pokemondb.net/pokedex/huntail,1.7,27.0
0368,Gorebyss,,https://pokemondb.net/pokedex/gorebyss,1.8,22.6
0369,Relicanth,,https://pokemondb.net/pokedex/relicanth,1.0,23.4
0370,Luvdisc,,https://pokemondb.net/pokedex/luvdisc,0.6,8.7
0371,Bagon,,https://pokemondb.net/pokedex/bagon,0.6,42.1
0372,Shelgon,,https://pokemondb.net/pokedex/shelgon,1.1,110.5
0373,Salamence,,https://pokemondb.net/pokedex/salamence,1.5,102.6
